,Text
2343,"Microsoft has announced that it will replace over 14 million power cables for its Xbox consoles as a precautionary measure following safety concerns. The decision comes after reports of fire hazard issues associated with the cables. The replacement program applies to Xbox units manufactured before October 23, 2003, in all regions except mainland Europe, and for consoles in mainland Europe made before January 13, 2004. Microsoft stated that it had received 30 reports of minor injuries or property damage caused by defective cables. The company mentioned that less than one in 10,000 consoles had encountered component failures. This recall"
2344,"Microsoft has announced that they are offering free replacement cords for Xbox consoles due to a small number of incidents where damage occurred. The company stated that most of the damage was contained within the console or limited to the power cord tip, but in a few cases, customers sustained minor burns or reported smoke damage. Robbie Bach, senior vice president of Microsoft's home and entertainment division, emphasized that this precautionary measure is being taken despite the rarity of these incidents. Customers can request a new cable through the Xbox website or by calling a specific number. Replacement cords are expected to be delivered within two to four weeks."
2345,"Robots are being taught about ""robotiquette,"" which focuses on social behavior, to improve their interactions with humans. Through activities such as playing games like pass-the-parcel, a team from the University of Hertfordshire is exploring how future robot companions should respond in social settings. The research outcomes will contribute to the establishment of a set of guidelines for human-robot interaction. This initiative is a component of the European Cogniron robotics project and was showcased at the Science Museum in London."
2346,"""We are considering a scenario where there is already a beneficial human companion robot in existence,"" explained Professor Kerstin Dautenhahn, who leads the project at Hertfordshire. The goal is to explore the appropriate programming for such a robot to ensure it respects the personal space of humans. The research also delves into how humans perceive robots, including their appearance and how a robot can acquire new skills through imitation of a human instructor. ""Without these investigations, there is a risk of developing robots that do not acknowledge the individuality, preferences, and diverse cultural backgrounds of humans,"" Professor Dautenh"
2347,"In most cases, a companion robot will eventually need to interact not just with individuals, but also with groups of people. To assess their reactions, the Hertfordshire Cogniron team trained a robot to play pass-the-parcel with children. Demonstrating its abilities at the Science Museum, the robot, whose name was not disclosed, had to choose, approach, and request various children to take a parcel containing a gift, using its arm as a pointer and its camera as an eye. It also utilized speech to provide instructions and play music. Nevertheless, researchers believe that it will require many years"
2348,Tune in to the BBC World Service's Go Digital program for further details on this story.
2349,"According to its supporters, the Blu-ray next-generation DVD format is gaining more backers compared to its competitor. Blu-ray, endorsed by 100 companies including Sony, is in a competition with HD-DVD, supported by Toshiba and NEC, to become the preferred format for future movies and games. The Blu-Ray Association announced on Thursday that Electronic Arts and Vivendi, two major game companies, will also support the Blu-ray format. The upcoming DVDs will feature high-definition video and sound, providing a 3D-like picture quality that Hollywood studios and game developers are eager to utilize in the near future. Toshiba"
2350,"Richard Doherty, a pioneer of Blu-ray technology at Panasonic's Hollywood Laboratories, explained to the BBC news website that the transition from standard definition to high-definition video images requires increased storage capacity. By utilizing blue laser-based technology, they have developed an optical laser disc that can hold six times more data than today's DVDs. A Blu-ray disc can store 50GB of high-quality data, while Toshiba's HD-DVD can hold 30GB. Doherty emphasized the importance of ensuring that the discs meet all high-definition needs, including the ability to record on them and fit into camc"
2351,"The gaming industry is worth $20 billion globally, making it just as important financially as the film industry. According to Michael Heilmann, the chief technology officer at Vivendi Universal, the advancement in optical-disc technologies is necessary for game development today. He believes that Blu-ray technology provides the capacity, performance, and high-speed internet connectivity needed for the future of gaming. EA, a prominent games developer and publisher, emphasized the importance of delivering high-definition games in the future and stated that Blu-ray technology offers the necessary capacity, functionality, and interactivity for their upcoming projects. Sony also confirmed that they"
2352,"Gaming companies are known for their focus on creating immersive worlds through intricate 3D models, textures, and high-resolution graphics. However, fitting these detailed models on current DVD technologies requires compressing the graphics, resulting in a loss of quality. As games strive for more realistic visuals, the limitations of current technology become apparent. Mr. Doherty expressed excitement about the potential to build immersive environments with advanced capabilities.

Presently, graphics-heavy PC games need multiple discs for installation, while consoles rely on single discs. High-definition DVDs offer a solution by allowing for much more data storage, enabling better,"
2353,"Apple's highly anticipated release of the Mac Mini last month generated a lot of buzz among Apple enthusiasts. The question on everyone's mind is whether this new Macintosh lives up to the hype. Let's address a few key points right away - yes, the Mac Mini is incredibly compact, and yes, it showcases Apple's signature design excellence. While there is much to discuss about its size and aesthetics, it's important to note that at its core, the Mac Mini is simply a computer. Packed inside this small package is a G4 processor, a CD/DVD player, a hard drive,"
2354,"Certainly, individuals who utilize the open-source Linux operating system have the freedom to customize their own selection of programs. For those interested in exploring creative possibilities with their music, photos, and home videos, the Mac Mini serves as an excellent introductory computer or supplementary device to a primary system. Mark Sparrow, the technical and reviews editor at Mac Format magazine, described the Mac Mini as a compact yet powerful machine that caters to the average computer user seeking to break away from the constraints of Windows and viruses. He likened it to a laptop housed in a compact container, devoid of a screen and keyboard."
2355,"Despite the availability of commercial Personal Video Recorders with hard drives smaller than 80GB, it is important to note that they only store TV content. In contrast, a media center computer needs to accommodate music, files, and photos, making 80GB seem insufficient. Most PCs running Windows Media Center come with at least 120GB hard disks. While the Mac Mini lacks a TV tuner card, digital audio out, and bundled media center software, some users have successfully repurposed it for media center functions. Therefore, the Mac Mini should be evaluated based on its own merits rather than its limitations"
2356,"A report indicates that computer users worldwide are disregarding security alerts regarding spam emails and are falling for purchasing items. According to the report, over 25% have purchased software through spam emails, while 24% have bought clothing or jewelry. In addition to making profits from selling products and increasing advertising traffic, criminal organizations can exploit spam to obtain personal data. The Business Software Alliance (BSA) cautioned individuals to remain vigilant. Mike Newton, a BSA representative who conducted the survey, noted that many online consumers fail to consider the true intentions of spammers."
2357,"Spammers deceive consumers by selling software that looks legitimate in authentic packaging or through sophisticated websites, concealing spyware without their knowledge. Once installed on PCs and networks, this software can secretly gather and misuse internet-transmitted information. Research findings indicate that only one in 10 individuals read or admit to reading adult entertainment spam emails. A study involving 6,000 participants from six countries, focusing on their views on junk emails, found that Brazilians were the most inclined to engage with spam. Approximately one-third of Brazilians read unsolicited junk emails, with 66% making purchases after receiving spam."
2358,"The French ranked second in likelihood to make purchases at 48%, while 44% of Britons also took advantage of products and services. Despite concerns about net security due to spam, with 38% of people in all countries worried, over a third of respondents expressed fears about spam emails containing viruses or programs aiming to gather personal information. William Plante, director of corporate security and fraud protection at security firm Symantec, noted that both industry and media efforts have increased awareness about the risks associated with illegitimate emails, helping to mitigate potential financial harm and inconvenience from phishing attacks and spoof websites."
2359,"The evolution of home entertainment has seen the transition from humble home videos to DVDs, and now Hollywood is gearing up for the next big thing - high-definition. High-definition technology offers stunning, 3D-like visuals and immersive surround sound. Although the release of high-definition DVDs and compatible equipment is still a year away, there are several unresolved issues to address. However, once high-definition films are available on the new format DVDs, it will revolutionize home entertainment. Rick Dean, director of business development at digital content company THX, is excited about the potential of a high-definition future. Having worked on"
2360,"The current technology we are working with has resulted in a strong connection between different mediums. ""The films shown in theaters are sourced from the same digital file used for home videos,"" he explains. However, transferring a feature film onto a DVD involves significant compression due to the limitations of current DVD technology in accommodating high-definition content. ""The more you compress the data rate of the picture, the more quality is lost from the original master,"" he elaborates. ""I am eager to showcase our projects in their true high-definition form, which I find very exciting."" High-definition DVDs have the capacity to store six"
2361,"Transitioning to high-definition will bring about changes for those working behind the scenes as well. In general, creating films for high-definition DVDs will be somewhat simpler because less compression will be necessary. This could potentially lead to Hollywood studios requesting more content to be included on the average DVD. Currently, the compression required for DVDs is quite significant, at about 98%, due to data rates running at 1.2 gigabits per second during the mastering process. With high-capacity DVDs, studios could incorporate additional marketing material, games, and features. While skipping the down-conversion step may save time"
2362,"In one of the scans of a corridor on the Death Star, a file cabinet is clearly visible behind one of the doorways. The cabinet was previously unnoticed due to the blurriness during the pan shot. The advent of high-definition technology is blurring the line between home entertainment and cinema, with home theatre systems transforming living rooms into mini cinemas. This trend may also lead to a wider variety of film delivery methods and formats in the future. Mr. Dean predicts that in the future, films will be delivered over IP, providing a DVD-like experience from the set-top box to the hard drive."
2363,"Research indicates that fast internet access is motivating a larger number of individuals to share their thoughts online. A report from UK think-tank Demos reveals that a quarter of broadband users in Britain frequently post content and maintain personal websites. The report highlights that the availability of a constant, high-speed connection is reshaping internet usage patterns. The number of households in the UK with broadband exceeds five million and continues to increase rapidly."
2364,"The Demos report examined how broadband is influencing people's internet habits. It revealed that over half of broadband users go online before breakfast, with one in five even admitting to browsing the web in the middle of the night. The report argues that broadband is empowering individuals to be more active online, with one in five posting content daily, such as comments, opinions, or photos. Co-author John Craig stated that broadband is shifting power from institutions to individuals, fostering social innovation beyond mere access and speed concerns. Titled ""Broadband Britain: The End Of Asymmetry?"", the report was commissioned by AOL"
2365,"According to a compilation by Stuff Magazine, Sony's Playstation Portable has been named the top UK gadget for 2005, surpassing the iPod to claim the number one spot on the Top Ten Essentials list. The list predicts the most sought-after gadgets for the year. Acquiring all ten items on the list will cost gadget enthusiasts £7,455, which is £1,000 less than the previous year, thanks to reduced manufacturing costs making gadgets more budget-friendly."
2366,"According to Adam Vaughan, editor of Stuff Essentials, this year's list is dominated by portable gadgets such as Sharp's 902 3G mobile phone, the Pentax Optio SV digital camera, and Samsung's Yepp YH-999 video jukebox. Vaughan believes that gadgets have become more affordable, attractive, and essential than ever before, making them indispensable in our daily lives. He also notes that the increasing presence of gadgets in our homes is changing the role of traditional high street stores. Vaughan questions the need for traditional services such as developing film or buying physical music albums when digital alternatives"
2367,"Bill Thompson, an analyst, envisions his son as the key to the future. I recently purchased a 3G phone for my son Max, partly due to their affordability and his need for a phone, and partly because of my expertise in technology and desire to understand their practical usage. Despite experimenting with it, I have no inclination to replace my SonyEricsson P800 smart phone. While the latter has slower GPRS network access, it boasts a relatively large screen, enabling me to check emails, browse the web with a proper browser, and write using the stylus on its touch screen."
2368,"When Max began playing, I realized I had completely missed the point. The overall experience may not be great, mainly due to the poor menu system and phone layout, but the video content itself is engaging. The quality is comparable to video streaming from the BBC website, with a similar image size. Max was engrossed, and I was fascinated to see the next stage of the network revolution unfold. It's easy to disregard small screens, especially for people of my generation with failing eyesight and the belief that there's nothing worth watching on TV. However, just as the World Wide Web drove internet"
2369,"This will be welcomed by network operators seeking revenue from their costly 3G licenses. However, the significance goes beyond that: the ability to play music videos on a phone signals a shift away from the traditional 'download and play' approach we are accustomed to with iPods and MP3 players. Why carry around 60GB of music and images in your pocket when you can easily stream whatever you desire on your phone? Additionally, the phone can still be used for voice calls and texts, ensuring it remains a handy device for various purposes. While I have reservations about using Internet Protocol (IP) for"
2370,"I listen to radio on my computer while I work, enjoying the unique stations from around the world that I can only find online. I am also experimenting with internet telephony and appear on Go Digital on the World Service every week, streamed over the web. While 3G networks are designed for streaming voice and video, they are not yet fully developed, and there are issues to be resolved regarding web access and data charges. Vodafone allows access to its services on Vodafone Live! as part of the subscription cost but charges for downloading from other sites. This may impact the consumer market and raise concerns"
2371,"According to research, games known as 'God games' that involve controlling virtual individuals and societies could have educational benefits. A US researcher has proposed that games like The Sims could be effective tools for language learning. Ravi Purushotma argues that The Sims world may be more effective at teaching vocabulary and grammar compared to conventional methods. Mr. Purushotma suggests that the enjoyment of playing games could make language learning a more enjoyable experience."
2372,"Few parents or teachers are not concerned about children being tempted by video games on computers or consoles instead of doing their homework. However, Ravi Purushotma suggests that educators, especially language teachers, should welcome games rather than fear them. He believes that there is a misconception that learning and play are inherently opposing forces. Purushotma sees the potential in games like The Sims to engage adolescent audiences and enhance learning experiences. He points out that the challenge in learning any language lies in grasping the fundamental aspects of vocabulary and sentence structure. Traditional language teaching methods, which involve repetitive drills and unfamiliar terms"
2373,"Mr. Purushotma pointed out a limitation of The Sims, mentioning the absence of spoken language to aid in pronunciation improvement. He suggested that online versions of The Sims, where players interact with neighbors and explore the town, could be modified to address this issue. While acknowledging that he is not the first to propose using games for learning, Mr. Purushotma believes that educators have overlooked their potential in this regard. He advocates for using simulated characters in a virtual world to engage in daily tasks described in a foreign language as a valuable learning tool. He noted that educational software has traditionally lagged"
2374,"According to research, phone companies cannot rely solely on faster, better, or trendier hardware to increase handset sales. Instead, they should focus on how the technology enhances the consumer's lifestyle rather than just promoting the technical specifications. A study conducted by Ericsson found that consumers are more interested in the practical applications of the handset rather than its features like screen size, memory, or processor. Dr. Michael Bjorn, a senior advisor at Ericsson, emphasized the need to communicate with consumers in a way that resonates with them and demonstrates how the technology complements their daily activities. He suggested that the"
2375,"In the study, Ericsson conducted interviews with 14,000 mobile phone users to explore their phone usage habits. Dr. Bjorn noted that people's behaviors have remained consistent, but they have shifted these activities to their mobile phones for convenience. He highlighted the example of diary-writing among young individuals, explaining that while diaries have always been popular, mobile phones, particularly those with cameras, offer a new way to maintain them. The use of text messages by youngsters reflects their inclination to communicate and stay connected with friends in a slightly modified manner. Dr. Bjorn emphasized that although consumers continue their usual"
2376,"The speed of change in mobile phone use is influenced by how quickly new devices are purchased by early adopters and materialistic individuals. Once around 25% of the population owns phones with new features like cameras, concerns about privacy when sending picture messages diminish. After reaching this critical mass of users, the adoption of new technologies typically accelerates. Initially, reports from Japan suggested that camera phones might not be successful, but now 45% of those surveyed by Ericsson in Japan use their camera phones monthly, up from 29% in 2003. Similarly, more people in Europe are starting to"
2377,"BT is launching two new programs to help combat rogue dialler scams, which can result in dial-up internet users losing significant amounts of money. Starting in May, dial-up internet users will have the option to download free software that prevents computers from dialling numbers that are not on a user's approved list. Rogue diallers are malicious programs that take control of modems and dial premium rate numbers without the user's knowledge. It is estimated that thousands of dial-up users in the UK have fallen victim to this scam, with some receiving phone bills as high as £2,000. BT's Modem"
2378,"BT has introduced a new early warning system as part of their second initiative, which will notify customers of any unusual activity on their phone bills. If a bill increases significantly above its typical daily average or if a call is made to a suspicious number, a text or voice alert will be sent to the user's landline phone. To crack down on rogue diallers, companies must now meet strict requirements, including providing clear terms and conditions, information on how to remove diallers, and taking responsibility for customer refunds. Icstis now has the authority to shut down any company operating a dialler without"
2379,"Microsoft is launching tools to clean infected PCs from viruses and spyware. The virus-fighting program will receive monthly updates and is a step towards Microsoft introducing specialized anti-virus software. Additionally, a software utility will be available to assist users in detecting and eliminating spyware on their personal computers. While the anti-spyware tool is currently free, it is anticipated that Microsoft will eventually start charging users for it."
2380,"The anti-spyware tool is currently available, while the anti-virus utility is anticipated to be released later this month. Microsoft's Windows operating system has been a popular target for virus creators due to its widespread use and numerous vulnerabilities. Over 100,000 viruses and malicious programs are now believed to exist, with up to 200 new variants emerging weekly. Spyware, which can infiltrate computers without users' knowledge, ranges from benign pop-up ads to malicious programs that steal sensitive data. Research indicates that a majority of PCs are infected with spyware, with an average of 28 separate programs"
2381,"According to research, phone companies cannot rely solely on faster, better, or funkier hardware to increase handset sales. Instead, they should focus on how the technology integrates into consumers' lifestyles rather than just promoting the latest features. A study conducted by Ericsson found that consumers prioritize how handsets complement their daily activities over factors like screen size, memory, or processor. Dr. Michael Bjorn, a senior advisor at Ericsson, emphasized the need to communicate with consumers in a relatable way and demonstrate how the technology enhances their experiences, rather than promising life-changing innovations."
2382,"Dr. Bjorn, who conducted the study with Ericsson, interviewed 14,000 mobile phone owners to understand their phone usage habits. He noted that people tend to maintain their habits but shift them to mobile phones for convenience. Dr. Bjorn highlighted the example of diary-writing among younger individuals, explaining that while diaries have always been popular, mobile phones, especially those with cameras, offer a different way to keep diaries. The use of text messages by youngsters reflects their desire to chat and stay connected with friends in a slightly modified manner. Dr. Bjorn emphasized that while consumers continue their"
2383,"The speed at which new mobile devices are purchased by early adopters and materialistic individuals is another key factor influencing the rate of change in mobile phone usage. Once approximately 25% of the population owns handsets with innovative features like cameras, concerns about privacy when sending picture messages diminish. At this point, the adoption of new technologies typically accelerates. Initially, reports from Japan suggested that camera phones might not be successful, but now 45% of those surveyed by Ericsson in Japan use their camera phones monthly, up from 29% in 2003. In Europe, the number of people"
2384,"The internet is being used by aid agencies to gather resources for assisting in the aftermath of the tsunami disaster. Many individuals are contributing donations through websites or accessing online platforms to participate in aid efforts. Prominent web portals like Google, Yahoo, Ebay, and Amazon are compiling links that direct users to aid and relief organizations. The high volume of visitors to certain aid-related websites has caused some pages to struggle with the influx of traffic. The Disasters Emergency Committee (DEC), a coalition of 12 charities, has established a central platform for receiving donations through a dedicated website. It encourages people to donate online whenever"
2385,"Telco BT intervened to take control of the secure payments on the DEC site and offered additional logistical support for phone and online appeals following initial difficulties with online donations. They also allocated space in London's BT tower for one of the call centers handling donations. Major internet companies are also assisting in directing aid by adjusting their homepages to include links to organizations collecting resources. Google, known for its minimalist homepage, has added a link leading users to a list of sites where donations can be made, including Oxfam, Medecins sans Frontieres, and Network for Good among others. Many of these listed"
2386,"IBM, a major player in the computer industry, has announced that it will release 500 of its software patents to the open development community. This decision allows developers to utilize the technologies without the need to obtain a license from IBM. The company views this move as a significant shift in its approach to intellectual property, signaling a new era. IBM has also committed to making additional patents accessible in the future. These patents cover various software applications, such as text recognition and database management. Despite this change in strategy, IBM still adheres to the traditional practice of accumulating patents."
2387,"According to the New York Times, IBM received 3,248 patents in 2004, surpassing all other US companies. IBM has consistently been the top recipient of US patents for the past 12 years, with a total of 25,772 patents during that time and currently holding over 40,000 patents. Dr. John E. Kelly, IBM's senior vice president of Technology and Intellectual Property, emphasized that true innovation leadership goes beyond patent numbers and focuses on creating value for customers, partners, and society. He stated that IBM is entering a new phase in managing intellectual property. Despite"
2388,"The company expressed its desire to inspire other businesses to release patents into what they referred to as a ""patent commons."" Adam Jollans, IBM's global Linux strategy manager, stated that the initiative aimed to foster innovation genuinely. He emphasized that the release of these patents would accelerate innovation. Jollans highlighted the importance of collaboration, drawing parallels with the academic model. He compared the concept of a patent commons to the development of the internet, emphasizing that collaboration could benefit everyone. Stuart Cohen, CEO of the US-based Open Source Development Labs, suggested that this move might lead to a shift in how"
2389,"A recent World Bank report indicates that the gap in technology access between wealthy and impoverished countries is quickly diminishing. The report acknowledges the United Nations' efforts to promote technology usage and accessibility in less developed nations. The report highlights the significant increase in technology access in developing countries, surpassing previous rates of progress. Despite this progress, a representative from the UN's World Summit on the Information Society emphasized that the digital divide still persists. The World Bank report asserts that the digital divide is closing rapidly."
2390,"According to the report, half of the global population now has access to a landline telephone, while 77% can connect to a mobile network. These figures exceed the target set by the WSIS campaign, which aimed for 50% telephone access by 2015. The UN believes that expanding technology access, including mobile phones and the internet, will contribute to poverty alleviation. The report highlights that developing nations are closing the gap with developed countries in terms of mobile network access. It notes that Africa is part of a global trend of rapid technology expansion, which is evident across various regions and economic"
2391,"A representative from the World Summit for the Information Society (WSIS), currently convening in Geneva, emphasized to the BBC News website the importance of addressing the tangible existence of the digital divide. They stressed the necessity of securing funding to help reduce this gap. During a meeting on Tuesday, the WSIS in Geneva approved the establishment of a Digital Solidarity Fund. The spokesperson stated that this fund, which relies on voluntary contributions, will support local community-based initiatives. According to the agreed-upon plan, private technology service providers could choose to contribute 1% of their contract earnings to the Digital Solidarity"
2392,"The way people access their digital entertainment in the future may undergo a transformation, thanks to the launch of an ambitious European project. Recently in Nice, the European Commission introduced its Networked & Electronic Media (NEM) initiative. This initiative covers everything from the creation of media to its distribution and playback. The Commission aims for individuals to easily find and receive the content they want, whether they are on the go, at home, or at work, regardless of the provider of devices, network, content, or content protection system. Over 120 experts gathered in Nice to discuss a connected future and received support"
2393,"The European Commission is taking a practical approach by recognizing the various digital media forms within the NEM scope. Their strategy involves evaluating available options, selecting the best ones, and addressing any gaps by developing standards. It is noteworthy that such a prominent organization is advocating for open digital formats accessible on all devices, which is likely to please many individuals and user groups. One of the Commission's challenges will be finding a solution for different DRM schemes that are currently incompatible and restrict content access across platforms. The potential financial rewards for establishing a dominant global DRM scheme are significant, extending beyond entertainment to areas like healthcare and energy"
2394,"The renowned Commodore computer brand, which was once popular, may be revived following its acquisition by a digital music distributor based in the United States. Yeahronimo Media Ventures, the new owner, is considering the potential of introducing a modern version of Commodore computers. Additionally, they aim to create a global entertainment concept using the brand, although specific information is currently unavailable. The iconic Commodore 64 computer evokes nostalgic feelings for individuals who had one during the 1980s."
2395,"Commodore was a pioneering company in the history of home computing. The Commodore 64, introduced in 1982, was among the first affordable home PCs. It was succeeded by the Amiga a few years later. The Commodore 64 remains the best-selling single computer system to date. However, the brand faced challenges in the 1990s and eventually filed for bankruptcy in 1994. It was then acquired by Dutch company Tulip Computers. In the late 1980s, Commodore was a major competitor to Atari, which also produced home computers and is now a"
2396,"Tulip Computers marketed various products under the Commodore brand, such as portable USB storage devices and digital music players. They intended to revive the brand due to a resurgence of interest in 1980s-era games. Enthusiasts of the Commodore 64 have developed emulators for Windows PC, Apple Mac, and PDAs to enable the original games to be played. The sale of Commodore is set to be finalized in three weeks for a sum exceeding ÃÂ£17m."
2397,"In 2003, broadband was compared to a jumbo jet getting ready for take-off. This year, it has truly taken off, with Lufthansa and British Airways testing it on flights. This highlighted the growing importance of the technology, although the practical benefits of sky-high broadband were still uncertain. By autumn, five million Britons had subscribed to high-speed internet access at home, showing its popularity and widespread adoption."
2398,"Enthusiasm for broadband is expected to continue growing, with experts forecasting that by the end of next year, the number of broadband connections will exceed eight million, representing over 30% of households. The main drivers behind this trend were declining prices and aggressive marketing efforts. When major providers like BT and Telewest began offering standard 512K broadband for under £20 earlier in the year, it marked a significant shift in the market, making broadband accessible to the masses. This led to intense competition among companies, with some even offering broadband for less than £10, raising concerns about the sustainability of such"
2399,"Broadband was a hot topic in the media, with mentions on the 10 O'clock News and in tabloids like the Sun, which even featured a cartoon joke about it. However, two significant developments in the broadband industry went unnoticed by the headlines. In May, BT quietly revealed a 70% reduction in the cost of allowing other operators access to its telephone exchanges, known as local loop unbundling. This move is crucial as the local loop is the essential connection between telephone exchanges and homes. Currently, BT controls over 80% of these lines, giving them the power to determine"
2400,"For those interested in upgrading to 1Mbps broadband, there was a small condition - they must reside within six kilometers of a broadband-enabled exchange. This news brought relief to many who had been unable to access the technology. Broadband is not just about speedy internet access through telephone and cable operators like NTL and Telewest had a successful year. They introduced faster speeds, such as 2Mb and 3Mb services, and offered a free upgrade to those on 512K. The cable operators, limited in their coverage, are even considering expanding their reach through local loop unbundling. With"
2401,"The annual Consumer Electronics Show (CES) in Las Vegas has attracted a large crowd of technology enthusiasts and industry professionals. The event features the newest technologies and gadgets set to be released in the upcoming year. Over 50,000 new products are set to be revealed during the show. Microsoft CEO Bill Gates will deliver a keynote speech before the show, where he is anticipated to unveil details about the next generation Xbox."
2402,"This year's show will emphasize technologies that empower individuals to control multimedia content, enabling them to store, listen to, and watch their desired content on devices at any time and place. The trade show is expected to attract around 120,000 attendees and covers over 1.5 million square feet. Key highlights will include the latest advancements in digital imaging, storage technologies, thinner flat screen and high-definition TVs, wireless and portable technologies, gaming, and broadband technologies. The event will feature speeches from major technology companies like Intel, Microsoft, and Hewlett Packard. Jeff Joseph, from the Consumer Electronics"
2403,"The CEA anticipated that there would be various significant technology trends to observe in the upcoming year. Gaming, particularly on mobile devices, was projected to continue flourishing and attract a more diverse audience, including women. While sales of game consoles had been decreasing, the introduction of next-generation consoles like Microsoft's Xbox and PlayStation was expected to boost sales. Speculation about Mr. Gates showcasing the new Xbox had been widespread, but some media reports raised doubts about the content of his keynote address. There were suggestions that the announcement might be made at the Games Developers Conference in the summer instead. With over 52%"
2404,"According to a report, gaming on mobile devices is rapidly gaining popularity among tech-savvy individuals in India. Market analysts at In-Stat/MDR predict that the Indian mobile gaming market will reach approximately $26 million (ÃÂ£13.8 million) by the end of 2004. The Telecom Regulatory Authority of India reported that in October, the number of mobile phone users increased by 1.4 million to 44.9 million, surpassing the number of landlines. Analysts attribute the growth to affordable rates and a large youth demographic in India. With a"
2405,"According to a report, India's mobile gaming market is projected to reach approximately $336 million (Â£178 million) by 2009. The global mobile gaming industry is expected to experience significant growth in the coming years. Analysts anticipate that by 2009, around 220 million individuals will be engaging in gaming activities on their mobile phones, resulting in substantial revenue for mobile companies. The expansion of services beyond traditional voice calls by mobile operators in India has seen a rapid and significant increase due to the surge in subscribers. Clint Wheelock, the director of In-Stat/MDR's wireless"
2406,"Mobile gaming is not just a source of entertainment; it is also a crucial component of the overall mobile entertainment experience for consumers and a profitable market opportunity for industry players. According to a report, India currently has six major game developers and four mobile operators offering games to their subscribers. In-Stat/MDR predicts that India will become one of the most significant markets in the upcoming mobile multimedia growth phase. As of January 2003, there were only 10 million mobile subscribers in India, with many opting for mobile phones in rural areas to avoid poor telecom infrastructure. Despite this, the mobile penetration rate"
2407,"BT reported that one person in the UK is signing up for high-speed internet every 10 seconds. The company stated that the number of individuals using broadband through the telephone line has now exceeded four million. When including those connected through cable, nearly six million people have access to a fast, always-on connection. The surge in broadband adoption has been driven by intense competition, decreasing prices, and the increased availability of broadband through the telephone line. BT's CEO, Ben Verwaayen, noted that the rate of broadband adoption is rapidly increasing and expressed confidence in reaching the target of five million users by the"
2408,"In the last four months, a million new connections have been established, with a steady increase in the number of people joining each day. Broadband subscribers include those who receive service directly from BT or through various companies that resell BT lines under their own brand. The recent surge in sign-ups can be attributed to BT's expansion of ADSL coverage, which allows for high-speed data transmission over standard copper phone lines. While the typical speed is 512kbps, faster options are also available. BT reports that over 95% of UK households and businesses can access broadband via phone lines, with plans"
2409,"Research shows that British TV viewers are at the forefront of the trend of illegally downloading US shows from the internet. According to a report, new episodes of popular series like 24, Desperate Housewives, and Six Feet Under are available online shortly after airing in the US. Envisional, a web tracking company, revealed that 18% of downloaders are based in the UK, with TV program downloads seeing a 150% increase in the past year. The majority of downloaders (about 70%) are using the file-sharing program BitTorrent. Ben Coppin from Envisional noted"
2410,"According to a report, fans of popular US TV shows such as 24 often have to wait weeks or months for the latest series to be aired in the UK. However, in some instances, viewers in Britain were able to watch new episodes before audiences on the west coast of the US. Mr. Coppin explained that missing a TV show is no issue for those with basic internet knowledge, as they can easily download their favorite programs with just a couple of clicks. Essentially, the internet now functions as a global video recorder. While exact numbers are hard to determine, it is estimated that around 80"
2411,"Episodes can be quickly uploaded to file-sharing networks or other download sites within 30 minutes due to their shorter length compared to full-length films. The increasing number of high-speed broadband connections in the UK enables fast downloads of episodes. Jupiter Research found that 40% of broadband households use their connection to select programs based on recommendations. Envisional suggests that the TV industry should provide a legal way to download shows. The BBC conducted a trial of the Interactive Media Player (iMP) last year, allowing viewers to download programs up to eight days after airing using a peer-to-peer distribution model. A"
2412,"The mobile phone market has experienced remarkable growth over the past decade, offering more than just communication on the go. In recent years, handsets have been equipped with features like games, cameras, and music players. However, a potential game-changer in 2005 could be Visual Radio, a technology developed by Nokia. This innovation allows radio stations to enhance their FM signals with information and pictures, creating a new way for listeners to engage with radio content. While Visual Radio may evoke thoughts of television, Nokia emphasizes that it is an enhancement of traditional radio rather than a new form of TV. With Visual"
2413,"The visual channel operated from a computer at the radio station transmits various information to the handset based on the content being listened to. In addition to providing details about the track or artist, users can engage with the station in real-time, similar to digital television's interactive features. Interactive options include contests, voting, and the ability to rate the current song. This interactive feature is expected to appeal to radio stations, as they can monitor participation levels in real-time, potentially generating additional revenue through advertising opportunities."
2414,"Visual Radio content is transmitted through existing GPRS technology, so you will need to have that service enabled by your network. There will be a cost for the service, which could vary depending on your usage. Mr. Wasenius mentioned that if you use the visual channel occasionally and interact with it, the cost would be around two or three pounds per month. However, operators might offer a package deal for an 'all you can eat' arrangement per month. The payment system is expected to be similar to how broadband internet works compared to dial-up connections. Nokia estimates that there will be 100 million"
2415,Revisit the interview on the Radio Five Live website.
2416,"Starting January 1st, a new law in California will impose significant fines on creators of computer programs that covertly monitor individuals' activities on their personal computers. Governor Arnold Schwarzenegger has approved this legislation to protect computer users from spyware, a type of software that poses a threat to personal information and security. Spyware, identified as a major nuisance and security risk by experts, infiltrates computers to gather various data, including sensitive information like passwords, login credentials, and credit card numbers. These programs are highly advanced, constantly evolving, and challenging to remove."
